Organization,Shop,Production Line,Equipment Line,Work Order,Model.Suffix,Box,Set,Wip,Buyer S/No,Rework,OQC_SMPLG_FLAG,Input Time,Out Time,Box Weight,Box Weight Result,Box Weight Time,MAC Address,Off Line history,ACCBAG_1,BOXCARTON_1,CARD_1,ENERGYLBL_1,ENERGYLBL_2,MANUAL_1,MANUAL_2,MANUAL_3,MANUAL_4,MANUAL_5,MOD_1,PANEL_1,PCBG_MAIN_1,POWERCORD_1,PSU_1,REMOCON_1,STREAMER_1,WARRANTY_1,Uploaded Panel,Repair Flag,이슈 제번,MAC_ADDRESS,LOAD_DATE
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225649TRDLJL,505PLHT225649,,505PLHT225649,N,,2025-05-13 11:22:04.366,2025-05-13 11:28:15.754,,,,58:96:0A:5B:D9:8B,,5F2L0007.L3145150200061,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R477WZJ3E65947101Q545,,LD55B101Z1,EAD65969409IUK5593384,SR2HA659207311408,AKB76046609IOS54B0722,MEZ00766501,MBM675057042501REV00,,,,58960A5BD98B,2025-05-14 11:31:51
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505331097TRDLJL,505PLWR331097,,505PLWR331097,N,,2025-05-31 14:04:07.884,2025-05-31 15:12:11.384,,,,58:96:0A:78:06:46,,5F2L0970.L3145150200181,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R478U0J3E65947101Q545,TJ521877AZ06-,LD55W10091,EAD65969409IUK55S3975,TR2K1659207311408,AKB76046609IH352DA315,MEZ00766501,MBM675057042501REV00,,,,58960A780646,2025-06-02 00:45:32
AP4,Final Assembly,L01,L01,5E2L0867,75QNED8GA6A.BTRDLJL,33758504276032TRDLJL,504PLAG276032,,504PLAG276032,N,Y,2025-04-23 17:48:33.442,2025-04-23 17:57:24.517,,,,58:96:0A:4D:52:29,,5E2L0867.L3145150200021,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3G4NBJ3E65947101NL33,,LD54P10036,EAD65969409IUK5381498,TR2K1659207311232,AKB76046609IOS51E0245,MEZ00766501,MBM675057042501REV00,,,,58960A4D5229,2025-04-30 05:01:21
AP4,Final Assembly,L01,L01,5EPM0048,75QNED8GA6A.ATRDLJL,33758504185594TRDLJL,504PLDX185594,,504PLDX185594,N,Y,2025-04-04 18:54:29.176,2025-04-05 17:44:00.541,,,,,,5EPM0048.L3145150100076,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R2Q82GJ3E65947101PC45,,IS51G1006W,EAD65969409IUK53L5442,TQDK3659207310263,AKB76046609IOS51Q0255,MEZ00766501,MBM675057042501REV00,,,,00A159D7AA88,2025-05-07 13:19:30
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225691TRDLJL,505PLFJ225691,,505PLFJ225691,N,,2025-05-13 11:49:00.829,2025-05-13 11:55:20.458,,,,58:96:0A:5B:DA:43,,5F2L0007.L3145150200211,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4783QJ3E65947101Q545,,LD55B1024B,EAD65969409IUK5593241,SR2CA659207311390,AKB76046609IOS54B0324,MEZ00766501,MBM675057042501REV00,,,,58960A5BDA43,2025-05-18 20:57:09
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190305TRDLJL,505PLTV190305,,505PLTV190305,N,,2025-05-06 13:14:53.883,2025-05-06 13:21:21.522,,,,58:96:0A:58:BB:EF,,5EMG0018.L3145150200090,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3N5URJ3E65947101Q545,,LD55510036,EAD65969409IUK5522035,SR2CA659207313224,AKB76046609IOS52S0801,MEZ00766501,MBM675057042501REV00,,,,58960A58BBEF,2025-05-08 08:29:44
AP4,Final Assembly,L01,L01,5EPM0048,75QNED8GA6A.ATRDLJL,33758504185633TRDLJL,504PLHT185633,,504PLHT185633,N,Y,2025-04-07 16:02:41.769,2025-04-07 16:11:24.064,,,,,,5EPM0048.L3145150100051,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R2Q80YJ3E65947101PD45,TJ512292AF03-,IS51G1005J,EAD65969409IUK53L5565,TQDK3659207310970,AKB76046609IOS51Q0244,MEZ00766501,MBM675057042501REV00,,,,00A159D7AA72,2025-04-28 09:02:07
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190446TRDLJL,505PLSY190446,,505PLSY190446,N,,2025-05-06 14:47:37.911,2025-05-06 14:54:41.582,,,,58:96:0A:58:BB:03,,5EMG0018.L3145150200171,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3N64CJ3E65947101Q545,,LD5551000S,EAD65969409IUK5522084,SR2CA659207313296,AKB76046609IOS52S0763,MEZ00766501,MBM675057042501REV00,,,,58960A58BB03,2025-05-07 14:01:47
AP4,Final Assembly,L01,L01,5EMG0018,75QNED8GA6A.BTRDLJL,33758505190477TRDLJL,505PLKW190477,,505PLKW190477,N,,2025-05-06 15:18:30.162,2025-05-06 15:26:05.775,,,,58:96:0A:58:BC:31,,5EMG0018.L3145150200143,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R3N603J3E65947101PH45,,LD5551003L,EAD65969409IUK5531757,SR2HA659207310282,AKB76046609IOS52S0729,MEZ00766501,MBM675057042501REV00,,,,58960A58BC31,2025-05-07 13:27:45
AP4,Final Assembly,L01,L01,5F2L0970,75QNED8GA6A.BTRDLJL,33758505331003TRDLJL,505PLFJ331003,,505PLFJ331003,N,,2025-05-31 13:06:46.523,2025-05-31 13:14:17.636,,,,58:96:0A:78:06:59,,5F2L0970.L3145150200012,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4S48SJ3E65947101QU43,,LD55W1009K,EAD65969409IUK55S3868,SR34A659207310351,AKB76046609IH3537K308,MEZ00766501,MBM675057042501REV00,,,,58960A780659,2025-06-02 12:43:55
AP4,Final Assembly,L01,L01,5F2L0007,75QNED8GA6A.BTRDLJL,33758505225712TRDLJL,505PLAG225712,505PLAG225712,505PLAG225712,N,,2025-05-13 12:48:27.678,2025-05-13 12:57:28.971,,,,,,5F2L0007.L3145150200140,MAY06793416,MBM63882538,,MEZ00765911,MEZ00766011,MFL702659802501REV00,MFL718339832501REV00,MFL719001062501REV00,,R4781YJ3E65947101Q545,,EBR24349581,EAD65969409IUK5593273,SR2CA659207311497,AKB76046609IOS54B0406,MEZ00766501,MBM675057042501REV00,,,,58960A5BD96A,2025-05-19 02:04:37
