PROD_DATE,LG SERIAL NUMBER,PCBA_SN,MAC_ADDRESS
2025-04-11,504IKGN04415,AC548110PR,00A15913C75C
2025-04-11,504IKLU04416,AC548110J0,00A1591476B7
2025-04-11,504IKTY04417,AC52E1100L,00A15913C856
2025-04-11,504IKDE04418,AC548110NW,00A15913C6FA
2025-04-11,504IKMQ04419,AC54811065,00A15913C8A4
2025-04-11,504IKEV04420,AC548110DX,00A159147713
2025-04-11,504IKKX04421,AC548110N4,00A15913C6DE
2025-04-11,504IKUP04422,AC54811096,00A15913C7C0
2025-04-11,504IKNF04423,AC54811050,00A15913C889
2025-04-12,504IKAW04424,AC548110L2,00A15913C744
2025-04-11,504IKWH04425,AC548110QB,00A15913C70E
2025-04-11,504IKXB04426,AC548110ML,00A159147647
2025-04-11,504IKFG04427,AC548110GA,00A15913C7AA
2025-04-11,504IKJR04428,AC52E11005,00A1591476C2
2025-04-12,504IKBA04429,AC5481101C,00A15913C90F
2025-04-11,504IKRJ04430,AC548110AK,00A15913C87B
2025-04-11,504IKVK04431,AC548110K1,00A15913C73F
2025-04-11,504IKPL04432,AC548110L6,00A15913C77D
2025-04-11,504IKHS04433,AC548110F9,00A15913C7B9
2025-04-11,504IKYC04434,AC5481109T,00A15913C7F1
2025-04-12,504IKCM04435,AC54811032,00A15913C942
2025-04-11,504IKQT04436,AC5481106B,00A15913C89E
2025-04-11,504IKZZ04437,AC548110KV,00A1591476AB
2025-04-11,504IKSD04438,AC5481105R,00A15913C885
2025-04-11,504IKGN04439,AC548110JU,00A1591476A5
2025-04-11,504IKLU04440,AC548110KB,00A1591476B5
2025-04-11,504IKTY04441,AC54811074,00A1591477AD
2025-04-11,504IKDE04442,AC5481103F,00A15913C90A
2025-04-11,504IKMQ04443,AC5481105K,00A15913C8C1
2025-04-11,504IKEV04444,AC548110R6,00A159147661
2025-04-11,504IKKX04445,AC548110NL,00A159147634
2025-04-11,504IKUP04446,AC548110P3,00A159147659
2025-04-11,504IKNF04447,AC54811051,00A15913C88E
2025-04-11,504IKWH04449,AC548110J6,00A159147685
2025-04-11,504IKXB04450,AC548110MH,00A159147648
2025-04-11,504IKFG04451,AC548110GD,00A1591476EE
2025-04-11,504IKJR04452,AC548110KF,00A1591476B3
2025-04-12,504IKBA04453,AC5481100K,00A15913C911
2025-04-11,504IKRJ04454,AC548110AL,00A1591477C0
2025-04-11,504IKVK04455,AC548110JA,00A159147684
2025-04-11,504IKPL04456,AC548110L5,00A1591476E3
2025-04-11,504IKHS04457,AC548110F5,00A1591476FB
2025-04-11,504IKYC04458,AC548110BB,00A15913C7F0
2025-04-12,504IKCM04459,AC54811047,00A15913C8FF
2025-04-11,504IKQT04460,AC5481107B,00A1591477A9
2025-04-11,504IKZZ04461,AC548110KQ,00A15913C74A
2025-04-11,504IKSD04462,AC5481105N,00A1591477CD
2025-04-11,504IKGN04463,AC548110H5,00A15913C733
2025-04-11,504IKLU04464,AC548110KA,00A15913C752
2025-04-11,504IKTY04465,AC5481104Q,00A1591477D5
2025-04-11,504IKDE04466,AC548110NA,00A15913C6FC
2025-04-11,504IKMQ04467,AC54811064,00A15913C8A5
2025-04-11,504IKEV04468,AC548110NQ,00A15913C6FE
2025-04-11,504IKKX04469,AC548110NF,00A159147637
2025-04-11,504IKUP04470,AC548110FZ,00A1591476F9
2025-04-11,504IKNF04471,AC5481104Z,00A15913C88F
2025-04-12,504IKAW04472,AC548110LR,00A15913C6F4
2025-04-11,504IKWH04473,AC548110Q8,00A159147671
2025-04-11,504IKXB04474,AC548110MM,00A15913C6E6
2025-04-11,504IKFG04475,AC548110G5,00A1591476EA
2025-04-11,504IKJR04476,AC548110KE,00A15913C750
2025-04-12,504IKBA04477,AC5481101B,00A15913C910
2025-04-11,504IKRJ04478,AC548110DM,00A15914770E
2025-04-11,504IKVK04479,AC548110JC,00A15913C71E
2025-04-11,504IKPL04480,AC548110LA,00A15913C77B
2025-04-11,504IKHS04481,AC54811085,00A15913C7C2
2025-04-11,504IKYC04482,AC548110AX,00A15913C7EF
2025-04-12,504IKCM04483,AC54811049,00A15913C901
2025-04-11,504IKQT04484,AC5481107E,00A15913C866
2025-04-11,504IKZZ04485,AC548110QY,00A15913C714
2025-04-11,504IKSD04486,AC5481105L,00A1591477CE
2025-04-11,504IKGN04487,AC548110D9,00A15913C7FF
2025-04-11,504IKLU04488,AC548110Q7,00A1591476B8
2025-04-11,504IKTY04489,AC548110RJ,00A159147675
2025-04-11,504IKDE04490,AC548110NT,00A15914765E
2025-04-11,504IKMQ04491,AC54811063,00A15913C8A6
2025-04-11,504IKEV04492,AC548110P0,00A15913C6F8
2025-04-11,504IKKX04493,AC548110N6,00A15914763C
2025-04-11,504IKUP04494,AC548110CE,00A15913C7D3
2025-04-11,504IKNF04495,AC548110B1,00A15913C876
2025-04-12,504IKAW04496,AC548110RH,00A15913C713
2025-04-11,504IKWH04497,AC548110QD,00A15914766E
2025-04-11,504IKXB04498,AC548110MU,00A15913C6E3
2025-04-11,504IKFG04499,AC548110G8,00A15913C7A9
2025-04-11,504IKJR04500,AC548110KJ,00A15913C74E
2025-04-12,504IKBA04501,AC54811019,00A15913C912
2025-04-11,504IKRJ04502,AC548110AJ,00A1591477BF
2025-04-11,504IKVK04503,AC548110JJ,00A15914767E
2025-04-11,504IKPL04504,AC548110P8,00A15913C774
2025-04-11,504IKHS04505,AC54811097,00A159147704
2025-04-11,504IKYC04506,AC548110AW,00A15914772E
2025-04-12,504IKCM04507,AC54811046,00A15913C8FE
2025-04-11,504IKQT04508,AC54811053,00A15913C8D1
2025-04-11,504IKZZ04509,AC548110PU,00A1591476BE
2025-04-11,504IKSD04510,AC5481105M,00A15913C887
2025-04-11,504IKGN04511,AC548110JT,00A15913C743
2025-04-11,504IKLU04512,AC548110KD,00A1591476B4
2025-04-11,504IKTY04513,AC548110RM,00A15913C711
2025-04-11,504IKDE04514,AC5481108G,00A15913C8E5
2025-04-11,504IKMQ04515,AC54811067,00A15913C8A2
2025-04-11,504IKEV04516,AC548110R3,00A159147662
2025-04-11,504IKKX04517,AC548110Q3,00A1591476BA
2025-04-11,504IKUP04518,AC548110CF,00A159147717
2025-04-11,504IKNF04519,AC5481105Q,00A1591477CC
2025-04-12,504IKAW04520,AC548110L1,00A1591476A8
2025-04-11,504IKWH04521,AC548110QE,00A15913C70C
2025-04-11,504IKXB04522,AC548110MT,00A159147643
2025-04-11,504IKFG04523,AC548110GB,00A1591476ED
2025-04-11,504IKJR04524,AC548110KG,00A15913C74F
2025-04-12,504IKBA04525,AC5481101A,00A15913C913
2025-04-11,504IKRJ04526,AC548110DK,00A15914770D
2025-04-11,504IKVK04527,AC548110JD,00A159147682
2025-04-11,504IKPL04528,AC548110L7,00A1591476E2
2025-04-11,504IKHS04529,AC54811087,00A15913C7C3
2025-04-11,504IKYC04530,AC548110CW,00A159147747
2025-04-12,504IKCM04531,AC54811044,00A15913C8FC
2025-04-11,504IKQT04532,AC5481107V,00A15913C8D4
2025-04-11,504IKZZ04533,AC548110KX,00A1591476AA
2025-04-11,504IKSD04534,AC52E1101U,00A1591477AF
2025-04-11,504IKGN04535,AC548110JW,00A1591476A4
2025-04-11,504IKLU04536,AC548110KC,00A15913C751
2025-04-11,504IKTY04537,AC548110RL,00A159147674
2025-04-11,504IKDE04538,AC5481101J,00A15913C928
2025-04-11,504IKMQ04539,AC54811066,00A15913C8A3
2025-04-11,504IKEV04540,AC548110GJ,00A15913C7AE
2025-04-11,504IKKX04541,AC548110LG,00A1591476DE
2025-04-11,504IKUP04542,AC548110CA,00A15913C7D5
2025-04-11,504IKNF04543,AC52E1101N,00A15913C873
2025-04-12,504IKAW04544,AC548110BM,00A15913C7D9
2025-04-11,504IKWH04545,AC548110Q9,00A15913C70F
2025-04-11,504IKXB04546,AC548110HM,00A159147696
2025-04-11,504IKFG04547,AC548110GC,00A15913C7AB
2025-04-11,504IKJR04548,AC548110KH,00A1591476B2
2025-04-12,504IKBA04549,AC5481100V,00A15913C914
2025-04-11,504IKRJ04550,AC548110DN,00A15913C7CA
2025-04-11,504IKVK04551,AC548110QH,00A15914766C
2025-04-11,504IKPL04552,AC548110L8,00A15913C77C
2025-04-11,504IKHS04553,AC548110BJ,00A15914771D
2025-04-11,504IKYC04554,AC548110CU,00A159147746
2025-04-12,504IKCM04555,AC54811043,00A15913C8FB
2025-04-11,504IKQT04556,AC54811055,00A15913C8CF
2025-04-11,504IKZZ04557,AC548110CT,00A15913C806
2025-04-11,504IKSD04558,AC52E1101T,00A15913C86C
2025-04-11,504IKGN04559,AC548110JV,00A15913C742
2025-04-11,504IKLU04560,AC52E1100E,00A15913C859
2025-04-11,504IKTY04561,AC548110RP,00A15913C710
2025-04-11,504IKDE04562,AC5481108E,00A15913C8E3
2025-04-11,504IKMQ04563,AC54811068,00A15913C8A1
2025-04-11,504IKEV04564,AC548110GE,00A15913C7AC
2025-04-11,504IKKX04565,AC548110LF,00A15913C778
2025-04-11,504IKUP04566,AC548110CD,00A15913C7D4
2025-04-11,504IKNF04567,AC52E1101L,00A15913C871
2025-04-11,504IKWH04569,AC548110RB,00A15913C716
2025-04-11,504IKXB04570,AC548110MQ,00A15914763A
2025-04-11,504IKFG04571,AC548110G6,00A15913C7A8
2025-04-11,504IKJR04572,AC548110GY,00A15914769A
2025-04-12,504IKBA04573,AC5481101Y,00A15913C915
2025-04-11,504IKRJ04574,AC548110AG,00A1591477BE
2025-04-11,504IKVK04575,AC548110R8,00A15913C718
2025-04-11,504IKPL04576,AC548110L9,00A1591476E1
2025-04-11,504IKHS04577,AC548110F4,00A15913C7B7
2025-04-11,504IKYC04578,AC548110CV,00A15913C807
2025-04-12,504IKCM04579,AC54811035,00A15913C945
2025-04-11,504IKQT04580,AC5481107X,00A15913C8D2
2025-04-11,504IKZZ04581,AC548110FR,00A1591476F5
2025-04-11,504IKSD04582,AC52E1101F,00A1591477B1
2025-04-11,504IKGN04583,AC52E11012,00A15913C789
2025-04-11,504IKLU04584,AC52E1100F,00A159147797
2025-04-11,504IKTY04585,AC548110RN,00A159147673
2025-04-11,504IKDE04586,AC5481101G,00A15913C926
2025-04-11,504IKMQ04587,AC548110E3,00A15913C7E4
2025-04-11,504IKEV04588,AC5481108Z,00A15913C8BA
2025-04-11,504IKKX04589,AC548110P6,00A15913C775
2025-04-11,504IKUP04590,AC548110CC,00A159147718
2025-04-11,504IKNF04591,AC548110B3,00A15913C874
2025-04-11,504IKWH04593,AC548110RC,00A159147678
2025-04-11,504IKXB04594,AC548110MR,00A159147644
2025-04-11,504IKFG04595,AC548110G4,00A15913C7A7
2025-04-11,504IKJR04596,AC548110JP,00A15913C74D
2025-04-12,504IKBA04597,AC5481101X,00A15913C919
2025-04-11,504IKRJ04598,AC548110AF,00A15913C879
2025-04-11,504IKVK04599,AC548110GX,00A15914768B
2025-04-11,504IKPL04600,AC548110LC,00A15913C77A
2025-04-11,504IKHS04601,AC548110C9,00A15913C7DC
2025-04-11,504IKYC04602,AC548110CQ,00A159147744
2025-04-12,504IKCM04603,AC5481102E,00A15913C950
2025-04-11,504IKQT04604,AC54811054,00A15913C8D0
2025-04-11,504IKZZ04605,AC548110EZ,00A15913C797
2025-04-11,504IKSD04606,AC548110B2,00A1591477B8
2025-04-11,504IKGN04607,AC548110DB,00A15913C800
2025-04-11,504IKLU04608,AC52E1100C,00A15913C85A
2025-04-11,504IKTY04609,AC548110QR,00A15913C707
2025-04-11,504IKDE04610,AC54811021,00A15913C918
2025-04-11,504IKMQ04611,AC5481106A,00A15913C89F
2025-04-11,504IKEV04612,AC548110FW,00A15913C7B4
2025-04-11,504IKKX04613,AC548110P9,00A1591476DA
2025-04-11,504IKUP04614,AC548110BF,
2025-04-11,504IKNF04615,AC548110B4,00A1591477B9
2025-04-12,504IKAW04616,AC548110LW,00A159147657
2025-04-11,504IKWH04617,AC548110RE,00A159147677
2025-04-11,504IKXB04618,AC548110MP,00A15913C6E5
2025-04-11,504IKFG04619,AC5481109G,00A15913C8AA
2025-04-11,504IKJR04620,AC548110JQ,00A1591476B0
2025-04-12,504IKBA04621,AC54811020,00A15913C917
2025-04-11,504IKRJ04622,AC548110AH,00A15913C87A
2025-04-11,504IKVK04623,AC548110HE,00A159147689
2025-04-11,504IKPL04624,AC548110LD,00A1591476DF
2025-04-11,504IKHS04625,AC548110B0,00A15913C7DF
2025-04-11,504IKYC04626,AC548110CS,00A159147745
2025-04-12,504IKCM04627,AC54811030,00A15913C940
